OrderID,CustomerID,SKU,Quantity,SupplierID,OrderDate,PromisedDate,ActualDeliveryDate,Status,Carrier,DelayOwner,ExceptionNote
ORD-5001,CUST-1002,SKU-GB12,10000,SUP-203,2026-08-05,2026-08-17,,Delayed,Acme Fleet,Acme,Weather routing
ORD-5002,CUST-1001,SKU-GB12,10000,SUP-201,2026-08-05,2026-08-23,,Delayed,Acme Fleet,Supplier,Weather routing
ORD-5003,CUST-1004,SKU-CROWN,15000,SUP-205,2026-08-19,2026-08-31,,Delayed,BlueDart Logistics,Customer,Customer hold - credit
ORD-5004,CUST-1004,SKU-CAP38,5000,SUP-201,2026-07-26,2026-08-06,2026-08-05,Delivered,Interstate Haulers,,
ORD-5005,CUST-1001,SKU-CROWN,5000,SUP-205,2026-07-26,2026-08-06,,In Transit,Interstate Haulers,,
ORD-5006,CUST-1004,SKU-GB16,50000,SUP-201,2026-08-05,2026-08-19,,On Hold,Acme Fleet,Customer,Customer hold - credit
ORD-5007,CUST-1005,SKU-CROWN,10000,SUP-203,2026-07-27,2026-08-11,2026-08-10,Delivered,Ridgeline Freight,,
ORD-5008,CUST-1003,SKU-BOX12,10000,SUP-202,2026-07-21,,2026-08-08,Delivered,BlueDart Logistics,Carrier,Late delivery
ORD-5009,CUST-1006,SKU-GB12,5000,SUP-202,2026-07-30,2026-08-15,2026-08-13,Delivered,Interstate Haulers,,
ORD-5010,CUST-1004,SKU-CROWN,50000,SUP-204,2026-07-21,2026-08-02,2026-07-31,Delivered,Interstate Haulers,,
ORD-5011,CUST-1007,SKU-LABEL,15000,SUP-204,2026-08-05,2026-08-17,,In Transit,Ridgeline Freight,,
ORD-5012,CUST-1001,SKU-GB16,50000,SUP-202,2026-08-09,2026-08-29,,In Transit,Ridgeline Freight,,
ORD-5013,CUST-1007,SKU-CAP28,20000,SUP-205,2026-07-17,2026-07-31,,,Ridgeline Freight,Customer,Spec change requested
ORD-5014,CUST-1005,SKU-CAP38,15000,SUP-201,2026-07-23,2026-08-04,,In Transit,Interstate Haulers,,
ORD-5015,CUST-1003,SKU-BOX12,50000,SUP-201,2026-07-31,2026-08-20,,In Transit,BlueDart Logistics,,
ORD-5016,CUST-1003,SKU-CAP38,25000,SUP-202,2026-07-17,2026-07-27,,In Transit,Acme Fleet,,
ORD-5017,CUST-1001,SKU-GB16,15000,SUP-203,2026-08-04,2026-08-14,2026-08-15,Delivered,Ridgeline Freight,Acme,Late delivery
ORD-5018,CUST-1008,SKU-GB16,10000,SUP-205,2026-08-11,2026-08-31,,In Transit,BlueDart Logistics,,
ORD-5019,CUST-1005,SKU-BOX12,20000,SUP-205,2026-08-06,2026-08-24,,Delayed,Acme Fleet,Supplier,Customer hold - credit
ORD-5020,CUST-1006,SKU-CROWN,,SUP-205,2026-08-12,2026-08-25,2026-08-24,Delivered,Ridgeline Freight,,
ORD-5021,CUST-1004,SKU-LABEL,5000,SUP-202,2026-08-15,2026-09-05,,Delayed,Ridgeline Freight,Supplier,Supplier material shortage
ORD-5022,CUST-1006,SKU-GB16,10000,SUP-205,2026-08-02,2026-08-22,,In Transit,BlueDart Logistics,,
ORD-5023,CUST-1008,SKU-PET500,20000,SUP-204,2026-08-07,2026-08-18,2026-08-18,Delivered,Interstate Haulers,,
ORD-5024,CUST-1007,SKU-CAP28,50000,SUP-204,2026-08-16,,,Delayed,Acme Fleet,Acme,Supplier material shortage
ORD-5025,CUST-1006,SKU-GB16,10000,SUP-202,2026-08-07,2026-08-25,,In Transit,Acme Fleet,,
ORD-5026,CUST-1003,SKU-PET1L,10000,SUP-204,2026-08-15,2026-09-01,,Processing,Ridgeline Freight,,
ORD-5027,CUST-1001,SKU-BOX12,5000,SUP-201,2026-08-04,2026-08-16,,In Transit,Acme Fleet,,
ORD-5028,CUST-1004,SKU-CAP28,10000,SUP-201,2026-07-26,2026-08-05,,On Hold,Interstate Haulers,Acme,Awaiting artwork approval
ORD-5029,CUST-1007,SKU-BOX12,10000,SUP-204,2026-08-07,2026-08-21,2026-08-18,Delivered,Ridgeline Freight,,
ORD-5030,CUST-1006,SKU-GB12,25000,SUP-201,2026-07-20,2026-08-07,,On Hold,Ridgeline Freight,Customer,Customer hold - credit
ORD-5031,CUST-1003,SKU-GB16,5000,SUP-205,2026-08-04,2026-08-20,2026-08-21,Delivered,Ridgeline Freight,Acme,Late delivery
ORD-5032,CUST-1002,SKU-CAP28,25000,SUP-205,2026-07-17,2026-08-01,,On Hold,Interstate Haulers,Customer,Spec change requested
ORD-5033,CUST-1004,SKU-PET1L,10000,SUP-204,2026-07-31,2026-08-17,2026-08-14,Delivered,Ridgeline Freight,,
ORD-5034,CUST-1008,SKU-LABEL,5000,SUP-205,2026-08-15,2026-09-02,2026-09-01,,BlueDart Logistics,,
ORD-5035,CUST-1006,SKU-GB16,15000,SUP-202,2026-08-01,2026-08-13,,In Transit,Interstate Haulers,,
ORD-5036,CUST-1001,SKU-BOX12,50000,SUP-203,2026-08-13,2026-08-25,2026-08-22,Delivered,BlueDart Logistics,,
ORD-5037,CUST-1005,SKU-PET1L,10000,SUP-205,2026-07-29,2026-08-11,,Delayed,Acme Fleet,Customer,Weather routing
ORD-5038,CUST-1005,SKU-GB12,50000,SUP-201,2026-07-23,2026-08-06,2026-08-05,Delivered,BlueDart Logistics,,
ORD-5039,CUST-1005,SKU-GB22,25000,SUP-204,2026-07-23,2026-08-10,2026-08-07,Delivered,BlueDart Logistics,,
